id,edad,genero,experiencia_anios,nivel,educacion,ubicacion,remoto,lenguaje_principal,framework_principal,bd_principal,conocimientos,horas_semanales,salario_actual,satisfaccion_laboral,busca_trabajo,fecha_encuesta
4,31,Femenino,9,Lead,Bootcamp,Madrid,No,R,FastAPI,SQL Server,"SQL Server, AWS, Pandas, Vue.js, Postman, GitHub Actions, Django, Rust, MongoDB, Grafana, Redis, BigQuery, Kotlin, R, FastAPI, Angular",55.0,72800.0,7,Sí,18/05/2025
1,22,Masculino,0,Junior,Autodidacta,Sevilla,No,C#,React,InfluxDB,"C++, Confluence, React, InfluxDB, DynamoDB, Scala, TypeScript, Ruby on Rails, C#, Angular",40.0,23400.0,6,No,18/05/2025
5,38,Masculino,14,Staff,Doctorado,Málaga,No,TypeScript,Flask,Couchbase,"C++, Jira, React, Pandas, SonarQube, Flask, Scala, Spring Boot, Rust, Couchbase, Google Cloud, Docker, Kotlin, TypeScript, Azure, PyTorch",40.0,76300.0,5,Sí,18/05/2025
2,34,Masculino,12,Staff,Grado Superior,Remoto (España),Sí,Rust,TensorFlow,BigQuery,"InfluxDB, TensorFlow, Ansible, Rust, BigQuery, TypeScript, Go, R, Prometheus",35.0,83800.0,6,Sí,18/05/2025
5,55,Prefiero no decirlo,25,Principal,Bootcamp,Sevilla,No,JavaScript,FastAPI,Cassandra,"Jira, DynamoDB, PostgreSQL, Scala, Git, ELK Stack, Docker, Cassandra, Go, JavaScript, FastAPI",37.5,122300.0,10,No,18/05/2025
1,26,Femenino,4,Senior,Grado Superior,Valencia,No,TypeScript,Spring Boot,BigQuery,"SQL Server, Spring Boot, Scala, BigQuery, TypeScript",37.5,42600.0,5,No,18/05/2025
1,50,Masculino,13,Staff,Doctorado,Bilbao,No,Swift,Flutter,MongoDB,"Flutter, Dart, React, AWS, DynamoDB, Neo4j, MongoDB, Swift, Redis, Angular",40.0,86000.0,5,No,18/05/2025
1,35,Femenino,7,Senior,Bootcamp,Remoto (España),Sí,Java,React,BigQuery,"React, Next.js, Java, Grafana, BigQuery, TypeScript, Ruby on Rails, Python",42.5,52700.0,7,No,18/05/2025
1,48,Masculino,25,Principal,Grado Universitario,Sevilla,No,Java,Angular,MySQL,"Kubernetes, DynamoDB, Next.js, PostgreSQL, Java, Scala, Spring Boot, MySQL, ASP.NET, Cassandra, TypeScript, JavaScript, Python, Angular",35.0,118600.0,9,Sí,18/05/2025
1,46,Masculino,17,Principal,Grado Universitario,Valencia,No,Ruby,Flutter,Cassandra,"Flutter, PHP, Flask, PostgreSQL, Ruby, Java, ELK Stack, Cassandra, Elasticsearch, Angular",37.5,89400.0,6,Sí,18/05/2025
